dataset,run,reader,K,rotation,negative_type,request_tokens_total,request_tokens_mean,response_tokens_total,response_tokens_mean
e2ewtq,1st,qwen3-32b,20,middle,soft,550321,2302.60,167045,698.93
e2ewtq,1st,qwen3-32b,20,start,hard,565147,2364.63,194768,814.93
e2ewtq,1st,qwen3-32b,20,start,soft,550321,2302.60,168563,705.28
e2ewtq,1st,qwen3-32b,30,end,hard,676624,2831.06,229411,959.88
e2ewtq,1st,qwen3-32b,30,end,soft,693429,2901.38,182204,762.36
e2ewtq,1st,qwen3-32b,30,middle,hard,676624,2831.06,229917,962.00
e2ewtq,1st,qwen3-32b,30,middle,soft,693429,2901.38,178322,746.12
e2ewtq,1st,qwen3-32b,30,start,hard,676624,2831.06,216097,904.17
e2ewtq,1st,qwen3-32b,30,start,soft,693429,2901.38,182428,763.30
e2ewtq,1st,qwen3-32b,40,end,hard,782961,3275.99,245805,1028.47
e2ewtq,1st,qwen3-32b,40,end,soft,780715,3266.59,205614,860.31
e2ewtq,1st,qwen3-32b,40,middle,hard,782961,3275.99,254670,1065.56
e2ewtq,1st,qwen3-32b,40,middle,soft,780715,3266.59,203369,850.92
e2ewtq,1st,qwen3-32b,40,start,hard,782961,3275.99,245616,1027.68
e2ewtq,1st,qwen3-32b,40,start,soft,780715,3266.59,198630,831.09
e2ewtq,1st,qwen3-32b,50,end,hard,859667,3596.93,218063,912.40
e2ewtq,1st,qwen3-32b,50,end,soft,849204,3553.15,226757,948.77
e2ewtq,1st,qwen3-32b,50,middle,hard,859667,3596.93,243967,1020.78
e2ewtq,1st,qwen3-32b,50,middle,soft,849204,3553.15,206371,863.48
e2ewtq,1st,qwen3-32b,50,start,hard,859667,3596.93,241429,1010.16
e2ewtq,1st,qwen3-32b,50,start,soft,849204,3553.15,215356,901.07
e2ewtq,2nd,claude-haiku-4-5,1,perfect,perfect,117398,491.21,53499,223.85
e2ewtq,2nd,claude-haiku-4-5,5,end,hard,594356,2486.85,31325,131.07
