dataset,model,negative,question_type,error_type,count,percentage (%)
feta,claude-haiku-4-5,soft,Lookup,Reasoning Hallucination,95,3.846154
feta,claude-haiku-4-5,soft,Comparison,Distractor Extraction,463,18.744939
feta,claude-haiku-4-5,soft,Comparison,Premature Refusal,43,1.740891
feta,claude-haiku-4-5,soft,Comparison,Reasoning Hallucination,32,1.295547
feta,claude-haiku-4-5,soft,Aggregation,Distractor Extraction,93,3.765182
feta,claude-haiku-4-5,soft,Aggregation,Premature Refusal,16,0.647773
feta,claude-haiku-4-5,soft,Aggregation,Reasoning Hallucination,2,0.080972
feta,gpt-4o,hard,Lookup,Distractor Extraction,1622,63.833137
feta,gpt-4o,hard,Lookup,Premature Refusal,55,2.164502
feta,gpt-4o,hard,Lookup,Reasoning Hallucination,152,5.981897
feta,gpt-4o,hard,Comparison,Distractor Extraction,497,19.559229
feta,gpt-4o,hard,Comparison,Premature Refusal,21,0.826446
feta,gpt-4o,hard,Comparison,Reasoning Hallucination,40,1.574183
feta,gpt-4o,hard,Aggregation,Distractor Extraction,146,5.745769
feta,gpt-4o,hard,Aggregation,Premature Refusal,1,0.039355
feta,gpt-4o,hard,Aggregation,Reasoning Hallucination,7,0.275482
feta,gpt-4o,soft,Lookup,Distractor Extraction,579,58.074223
feta,gpt-4o,soft,Lookup,Premature Refusal,30,3.009027
feta,gpt-4o,soft,Lookup,Reasoning Hallucination,126,12.637914
feta,gpt-4o,soft,Comparison,Distractor Extraction,152,15.245737
feta,gpt-4o,soft,Comparison,Premature Refusal,13,1.303912
feta,gpt-4o,soft,Comparison,Reasoning Hallucination,26,2.607823
feta,gpt-4o,soft,Aggregation,Distractor Extraction,55,5.51655
feta,gpt-4o,soft,Aggregation,Premature Refusal,2,0.200602
feta,gpt-4o,soft,Aggregation,Reasoning Hallucination,14,1.404213
