Dataset,Model,K,Score (Soft mean),Input Tokens (Soft Rotation Avg),Output Tokens (Soft Rotation Avg),Soft Avg_Cost($),Score (Hard mean),Input Tokens (Hard Rotation Avg),Output Tokens (Hard Rotation Avg),Hard Avg_Cost($),CpS(Soft),CpS(Hard),CpS(Avg),Score (BGE-m3),Input Tokens (BGE-m3),Output Tokens (BGE-m3),BGE-m3 Avg_Cost($),CpS(BGE-m3)
E2E-WTQ,qwen3-32b,10,0.7861333333333334,4581,685,0.0017326400000000001,0.7605777777777778,4662,938,0.0019054,0.0022040027137042065,0.002505200724595337,0.0023546017191497714,0.682,14462,1118,0.004853,0.0071165
E2E-WTQ,qwen3-32b,20,0.7545555555555555,8841,717,0.0029869199999999997,0.7052555555555555,8952,1023,0.0031996499999999996,0.003958515682520983,0.004536866069037228,0.004247690875779106,0.6904,28245,1284,0.008949,0.0129633
E2E-WTQ,qwen3-32b,30,0.6964222222222222,13082,753,0.004238049999999999,0.6592333333333333,13142,1058,0.0044354,0.00608546060818788,0.006728118521514891,0.006406789564851386,0.6904,41289,1141,0.012647,0.0183185
E2E-WTQ,qwen3-32b,40,0.6373777777777778,17248,739,0.00543793,0.5946222222222223,17323,981,0.00560246,0.00853172198591451,0.00942188130652515,0.00897680164621983,0.6025,54320,1590,0.016691,0.0277026
E2E-WTQ,qwen3-32b,50,0.5978666666666667,21365,725,0.0066235999999999995,0.5458,21465,859,0.0067316599999999996,0.011078724353256022,0.01233356540857457,0.011706144880915295,0.6987,65708,1716,0.020068,0.0287215
OTTQA,gpt-4o,1,0.42519798327910535,479,72,0.0019175,0.42519798327910535,479,72,0.0019175,0.004509663910473744,0.004509663910473744,0.004509663910473744,0.3618,485,73,0.001944,0.0053732
OTTQA,gpt-4o,5,0.4029295562122123,2038,98,0.006075,0.4029934777551181,2116,120,0.00649,0.015077077137524401,0.016104479000882726,0.015590778069203563,0.3722,2233,122,0.006803,0.0182787
OTTQA,gpt-4o,10,0.3893483236430879,3970,105,0.010975,0.3910975564690342,4116,134,0.011630000000000001,0.028188127015183154,0.02973682603644911,0.02896247652581613,0.3749,4403,146,0.012463,0.0332447
OTTQA,gpt-4o,20,0.37871887265230036,7829,114,0.0207125,0.39225715348076884,8070,149,0.021664999999999997,0.05469096339177167,0.055231624988228964,0.054961294190000315,0.3776,8680,168,0.023376,0.061908
OTTQA,gpt-4o,30,0.37650747964611136,11713,122,0.0305025,0.3865491456818228,11968,159,0.031509999999999996,0.08101432680346762,0.08151615480722489,0.08126524080534625,0.3907,12917,189,0.034179,0.0874809
OTTQA,gpt-4o,40,0.3837002633608479,15571,126,0.040187499999999994,0.3864791306232345,15871,166,0.0413375,0.1047367016326647,0.10695920354959226,0.10584795259112847,0.3889,17073,193,0.04461,0.114708
OTTQA,gpt-4o,50,0.3763381598666397,19444,129,0.0499,0.38761189960453435,19746,171,0.051075,0.13259351647380832,0.13176840043380988,0.13218095845380912,0.4002,21247,199,0.055105,0.1376945
OTTQA,claude-haiku-4-5,1,0.36274783398309635,434,151,0.001189,0.36274783398309635,434,151,0.001189,0.0032777590618374474,0.0032777590618374474,0.0032777590618374474,0.336,372,149,0.001115,0.0033196
OTTQA,claude-haiku-4-5,5,0.3417232273513971,1879,185,0.002804,0.3471477682669663,1944,197,0.002929,0.008205470906186372,0.008437329194487338,0.008321400050336856,0.3351,1796,182,0.002706,0.0080744
OTTQA,claude-haiku-4-5,10,0.3516275134371354,3652,195,0.004627,0.34135643446435404,3785,206,0.004815,0.013158811023549849,0.014105490665660218,0.013632150844605034,0.3433,3568,189,0.004516,0.0131534
OTTQA,claude-haiku-4-5,20,0.35852148266890754,7241,212,0.008301,0.34861167832901496,7426,221,0.008531,0.02315342427518053,0.024471354605477554,0.02381238944032904,0.3559,7037,200,0.008039,0.022589
OTTQA,claude-haiku-4-5,30,0.3627821973748211,10828,213,0.011893,0.3499611648472003,10998,225,0.012123,0.032782755289704396,0.03464098653715801,0.033711870913431204,0.3568,10459,205,0.011482,0.0321801
OTTQA,claude-haiku-4-5,40,0.36147225505787217,14406,218,0.015496000000000001,0.34908809837873694,14563,229,0.015708,0.0428691269749571,0.04499723729612198,0.04393318213553954,0.3555,13825,207,0.014862,0.0418064
OTTQA,claude-haiku-4-5,50,0.36142755781466507,17993,216,0.019073,0.34394908169526356,18087,227,0.019222,0.052771294240325645,0.05588617915552557,0.05432873669792561,0.36,17181,206,0.018211,0.0505853
OTTQA,gpt-oss-20b,1,0.323811948429118,530,732,8.38e-05,0.323811948429118,530,732,8.38e-05,0.00025879217986405994,0.00025879217986405994,0.00025879217986405994,0.2733,549,523,0.000063,0.0002315
OTTQA,gpt-oss-20b,5,0.3055002121186227,2102,797,0.00012174,0.2999621374858392,2182,1051,0.00014874000000000002,0.0003984939949983719,0.0004958625820134443,0.0004471782885059081,0.2995,2310,1001,0.000146,0.0004886
OTTQA,gpt-oss-20b,10,0.31263979816088777,4042,1039,0.00018474000000000002,0.3010527266657907,4190,1103,0.0001941,0.0005909036568176482,0.0006447375585987543,0.0006178206077082013,0.2687,4485,201,0.00011,0.0004086
OTTQA,gpt-oss-20b,20,0.29319412340858614,7912,860,0.00024424,0.2784050461379896,8151,956,0.00025862000000000004,0.0008330317032297226,0.0009289343120304535,0.0008809830076300881,0.2624,8785,162,0.000192,0.0007313
OTTQA,gpt-oss-20b,30,0.3025802809242449,11807,1075,0.00034364000000000004,0.295574050297696,12061,1228,0.00036402,0.0011356985952631691,0.0012315695496048,0.0011836340724339846,0.2999,13046,813,0.000342,0.0011412
OTTQA,gpt-oss-20b,40,0.3063153023575798,15684,1110,0.00042468,0.2906484147692911,15975,1278,0.00044730000000000003,0.0013864145758681235,0.0015389727838531469,0.0014626936798606352,0.29,17236,550,0.0004,0.0013784
OTTQA,gpt-oss-20b,50,0.30555240834006486,19573,1151,0.0005065600000000001,0.2916877906025978,19859,1322,0.0005293800000000001,0.0016578498030891762,0.0018148856998997248,0.0017363677514944504,0.2669,21431,198,0.000448,0.0016802
OTTQA,qwen3-32b,1,0.3493339783637636,534,1185,0.0008540099999999999,0.3493339783637636,534,1185,0.0008540099999999999,0.0024446806004960503,0.0024446806004960503,0.0024446806004960503,0.3252,542,1121,0.000818,0.0025163
OTTQA,qwen3-32b,5,0.3596412745931144,2281,1204,0.00137185,0.3561038708239939,2372,1521,0.00158527,0.0038144954345189198,0.004451706734700246,0.0041331010846095825,0.3261,2522,1449,0.001586,0.0048638
OTTQA,qwen3-32b,10,0.34306958763339024,4409,1213,0.0019942799999999998,0.3773920825155936,4633,1582,0.00227695,0.005813048057559447,0.006033380416521902,0.005923214237040675,0.3369,4983,1525,0.002345,0.0069596
OTTQA,qwen3-32b,20,0.36705382629859445,8810,1352,0.0033525799999999995,0.36986078827170354,9105,1790,0.00369655,0.009133755759496457,0.00999443606139853,0.009564095910447493,0.3356,9843,1526,0.003755,0.011189
OTTQA,qwen3-32b,30,0.28546222865918786,11528,1173,0.004035189999999999,0.3597413151749667,13510,1638,0.004884319999999999,0.014135635453254993,0.013577311790346965,0.01385647362180098,0.3365,14642,1522,0.005145,0.0152883
OTTQA,qwen3-32b,40,0.2711290993852254,15098,1257,0.00512005,0.3397528505741287,17919,1738,0.00622193,0.01888417735908655,0.01831310609899496,0.018598641729040757,0.3315,19367,1789,0.006672,0.0201268
OTTQA,qwen3-32b,50,0.2808001253394061,19444,1214,0.006355019999999999,0.33039129380756044,22290,1638,0.0074305199999999995,0.022631827504772724,0.022490059935804413,0.02256094372028857,0.3189,24095,2002,0.008168,0.0256142
FeTaQA,gpt-4o,1,0.7751878295347397,476,52,0.0017100000000000001,0.7751878295347397,476,52,0.0017100000000000001,0.002205916985340605,0.002205916985340605,0.002205916985340605,0.3595,556,56,0.001952,0.0054308
