Dataset,Model,K,Score (Soft Avg) 1st,Score (Soft Avg) 2nd,Score (Soft Avg) 3rd,Score (Soft Avg Mean),Standard deviation (Soft),SEM (Soft),Score (Hard Avg) 1st,Score (Hard Avg) 2nd,Score (Hard Avg) 3rd,Score (Hard Avg Mean),Standard deviation (Hard),SEM (Hard),Score (BGE-m3) 1st,Score (BGE-m3) 2nd,Score (BGE-m3) 3rd,Score (BGE-m3 Avg mean),Standard deviation (BGE-m3),SEM (BGE-m3)
E2E-WTQ,qwen3-32b,40,0.5007,0.7015333333333333,0.7099000000000001,0.6373777777777778,0.11844032877986063,0.06838155570396032,0.49793333333333334,0.636,0.6499333333333334,0.5946222222222223,0.08402434391514385,0.04851147757789,0.5045,0.6445,0.6585,0.6025,0.0851,0.0492
E2E-WTQ,qwen3-32b,50,0.4128,0.6946,0.6862,0.5978666666666667,0.16032745657975533,0.09256510021480978,0.3724,0.6429666666666667,0.6220333333333333,0.5458,0.1505331229700331,0.08691033906870366,0.4767,0.8231,0.7962,0.6987,0.1927,0.1113
OTTQA,gpt-4o,1,0.4661,0.4024,0.40709394983731617,0.42519798327910535,0.03549985239611663,0.02049584933708992,0.4661,0.4024,0.40709394983731617,0.42519798327910535,0.03549985239611663,0.02049584933708992,0.3966,0.3424,0.3464,0.3618,0.0302,0.0174
OTTQA,gpt-4o,5,0.4556,0.3759666666666666,0.3772220019699703,0.4029295562122123,0.045618260634123345,0.02633771505707362,0.4381,0.38620000000000004,0.38468043326535434,0.4029934777551181,0.030412632225163435,0.017558741401963198,0.4046,0.3567,0.3553,0.3722,0.0281,0.0162
OTTQA,gpt-4o,10,0.4431,0.36179999999999995,0.3631449709292638,0.3893483236430879,0.0465551744716289,0.026878642513364942,0.42323333333333335,0.3742666666666667,0.37579266940710254,0.3910975564690342,0.027840856436089984,0.016073925957846277,0.4057,0.3588,0.3602,0.3749,0.0267,0.0154
OTTQA,gpt-4o,20,0.4232333333333333,0.3557666666666666,0.35715661795690123,0.37871887265230036,0.03855691764702834,0.022260846782634045,0.41643333333333327,0.3809,0.3794381271089733,0.39225715348076884,0.02094994086590785,0.012095453998438638,0.4008,0.3666,0.3652,0.3775,0.0202,0.0116
OTTQA,gpt-4o,30,0.4185666666666667,0.35483333333333333,0.35612243893833395,0.37650747964611136,0.03643002687259167,0.021032885821476104,0.4063333333333334,0.37473333333333336,0.3785807703788016,0.3865491456818228,0.01724126601289327,0.009954249573713877,0.4107,0.3788,0.3827,0.3907,0.0174,0.0101
OTTQA,gpt-4o,40,0.4172,0.36633333333333334,0.3675674567492102,0.3837002633608479,0.029018184493879336,0.016753656628935458,0.39810000000000006,0.3815,0.3798373918697035,0.3864791306232345,0.010098243424111808,0.0058302235592533206,0.4006,0.3839,0.3822,0.3889,0.0102,0.0059
OTTQA,gpt-4o,50,0.41176666666666667,0.35936666666666667,0.3578811462665857,0.3763381598666397,0.03069097608865566,0.017719443306477716,0.39716666666666667,0.38223333333333337,0.38343569881360295,0.38761189960453435,0.008296481235785611,0.004789975674807502,0.4101,0.3946,0.3959,0.4002,0.0086,0.005
OTTQA,claude-haiku-4-5,1,0.3663,0.3591,0.36284350194928916,0.36274783398309635,0.0036009532446029816,0.0020790113251107877,0.3663,0.3591,0.36284350194928916,0.36274783398309635,0.0036009532446029816,0.0020790113251107877,0.3393,0.3327,0.3361,0.336,0.0033,0.0019
OTTQA,claude-haiku-4-5,5,0.34913333333333335,0.3386,0.337436348720858,0.3417232273513971,0.006443661542361425,0.003720249726049208,0.3551666666666667,0.34253333333333336,0.34374330480089893,0.3471477682669663,0.006970871996860828,0.004024634823874024,0.3429,0.3307,0.3318,0.3351,0.0068,0.0039
