dataset,reader,K,condition,input_rate_usd_per_1m,output_rate_usd_per_1m,recomputed_average_cost_usd,recomputed_cps_point_usd,recomputed_cps_low_from_display_rounding,recomputed_cps_high_from_display_rounding,published_cps,published_cps_4dp,matches_camera_ready_4dp
OTTQA,claude-haiku-4-5,20,hard,1.00,5.00,0.008531000000,0.024471354605,0.024462749042,0.024479960169,0.024471354605477554,0.0245,true
OTTQA,claude-haiku-4-5,20,bge_m3,1.00,5.00,0.008037000000,0.022582186007,0.022570585756,0.022593789518,0.022589,0.0226,true
OTTQA,claude-haiku-4-5,30,soft,1.00,5.00,0.011893000000,0.032782755290,0.032774485865,0.032791024714,0.032782755289704396,0.0328,true
OTTQA,claude-haiku-4-5,30,hard,1.00,5.00,0.012123000000,0.034640986537,0.034632414157,0.034649558917,0.03464098653715801,0.0346,true
OTTQA,claude-haiku-4-5,30,bge_m3,1.00,5.00,0.011484000000,0.032186098655,0.032173182009,0.032199018921,0.0321801,0.0322,true
OTTQA,claude-haiku-4-5,40,soft,1.00,5.00,0.015496000000,0.042869126975,0.042860827583,0.042877426367,0.0428691269749571,0.0429,true
OTTQA,claude-haiku-4-5,40,hard,1.00,5.00,0.015708000000,0.044997237296,0.044988643477,0.045005831115,0.04499723729612198,0.0450,true
OTTQA,claude-haiku-4-5,40,bge_m3,1.00,5.00,0.014860000000,0.041800281294,0.041785965406,0.041814601210,0.0418064,0.0418,true
OTTQA,claude-haiku-4-5,50,soft,1.00,5.00,0.019073000000,0.052771294240,0.052762993822,0.052779594659,0.052771294240325645,0.0528,true
OTTQA,claude-haiku-4-5,50,hard,1.00,5.00,0.019222000000,0.055886179156,0.055877456934,0.055894901377,0.05588617915552557,0.0559,true
OTTQA,claude-haiku-4-5,50,bge_m3,1.00,5.00,0.018211000000,0.050586111111,0.049884931507,0.051307042254,0.0505853,0.0506,true
OTTQA,gpt-oss-20b,1,soft,0.02,0.10,0.000083800000,0.000258792180,0.000258606887,0.000258977473,0.00025879217986405994,0.0003,true
OTTQA,gpt-oss-20b,1,hard,0.02,0.10,0.000083800000,0.000258792180,0.000258606887,0.000258977473,0.00025879217986405994,0.0003,true
OTTQA,gpt-oss-20b,1,bge_m3,0.02,0.10,0.000063280000,0.000231540432,0.000231278581,0.000231802379,0.0002315,0.0002,true
OTTQA,gpt-oss-20b,5,soft,0.02,0.10,0.000121740000,0.000398493995,0.000398297596,0.000398690394,0.0003984939949983719,0.0004,true
OTTQA,gpt-oss-20b,5,hard,0.02,0.10,0.000148740000,0.000495862582,0.000495662557,0.000496062607,0.0004958625820134443,0.0005,true
OTTQA,gpt-oss-20b,5,bge_m3,0.02,0.10,0.000146300000,0.000488480801,0.000488198965,0.000488762732,0.0004886,0.0005,true
OTTQA,gpt-oss-20b,10,soft,0.02,0.10,0.000184740000,0.000590903657,0.000590711743,0.000591095571,0.0005909036568176482,0.0006,true
OTTQA,gpt-oss-20b,10,hard,0.02,0.10,0.000194100000,0.000644737559,0.000644538258,0.000644936859,0.0006447375585987543,0.0006,true
OTTQA,gpt-oss-20b,10,bge_m3,0.02,0.10,0.000109800000,0.000408634164,0.000408334884,0.000408933557,0.0004086,0.0004,true
OTTQA,gpt-oss-20b,20,soft,0.02,0.10,0.000244240000,0.000833031703,0.000832827061,0.000833236346,0.0008330317032297226,0.0008,true
OTTQA,gpt-oss-20b,20,hard,0.02,0.10,0.000258620000,0.000928934312,0.000928718799,0.000929149825,0.0009289343120304535,0.0009,true
OTTQA,gpt-oss-20b,20,bge_m3,0.02,0.10,0.000191900000,0.000731326220,0.000730958278,0.000731694302,0.0007313,0.0007,true
OTTQA,gpt-oss-20b,30,soft,0.02,0.10,0.000343640000,0.001135698595,0.001135500301,0.001135896890,0.0011356985952631691,0.0011,true
OTTQA,gpt-oss-20b,30,hard,0.02,0.10,0.000364020000,0.001231569550,0.001231366555,0.001231772544,0.0012315695496048,0.0012,true
OTTQA,gpt-oss-20b,30,bge_m3,0.02,0.10,0.000342220000,0.001141113705,0.001140723454,0.001141504085,0.0011412,0.0011,true
OTTQA,gpt-oss-20b,40,soft,0.02,0.10,0.000424680000,0.001386414576,0.001386218699,0.001386610452,0.0013864145758681235,0.0014,true
OTTQA,gpt-oss-20b,40,hard,0.02,0.10,0.000447300000,0.001538972784,0.001538766349,0.001539179219,0.0015389727838531469,0.0015,true
OTTQA,gpt-oss-20b,40,bge_m3,0.02,0.10,0.000399720000,0.001378344828,0.001354779661,0.001402736842,0.0013784,0.0014,true
OTTQA,gpt-oss-20b,50,soft,0.02,0.10,0.000506560000,0.001657849803,0.001657653437,0.001658046169,0.0016578498030891762,0.0017,true
OTTQA,gpt-oss-20b,50,hard,0.02,0.10,0.000529380000,0.001814885700,0.001814680001,0.001815091399,0.0018148856998997248,0.0018,true
OTTQA,gpt-oss-20b,50,bge_m3,0.02,0.10,0.000448420000,0.001680104908,0.001679565462,0.001680644557,0.0016802,0.0017,true
OTTQA,qwen3-32b,1,soft,0.29,0.59,0.000854010000,0.002444680600,0.002443421061,0.002445940140,0.0024446806004960503,0.0024,true
OTTQA,qwen3-32b,1,hard,0.29,0.59,0.000854010000,0.002444680600,0.002443421061,0.002445940140,0.0024446806004960503,0.0024,true
OTTQA,qwen3-32b,1,bge_m3,0.29,0.59,0.000818570000,0.002517127921,0.002515388163,0.002518868215,0.0025163,0.0025,true
OTTQA,qwen3-32b,5,soft,0.29,0.59,0.001371850000,0.003814495435,0.003813271993,0.003815718876,0.0038144954345189198,0.0038,true
OTTQA,qwen3-32b,5,hard,0.29,0.59,0.001585270000,0.004451706735,0.004450471140,0.004452942329,0.004451706734700246,0.0045,true
OTTQA,qwen3-32b,5,bge_m3,0.29,0.59,0.001586290000,0.004864428090,0.004862333282,0.004866523539,0.0048638,0.0049,true
OTTQA,qwen3-32b,10,soft,0.29,0.59,0.001994280000,0.005813048058,0.005811765519,0.005814330596,0.005813048057559447,0.0058,true
OTTQA,qwen3-32b,10,hard,0.29,0.59,0.002276950000,0.006033380417,0.006032214520,0.006034546313,0.006033380416521902,0.0060,true
OTTQA,qwen3-32b,10,bge_m3,0.29,0.59,0.002344820000,0.006959988127,0.006957649503,0.006962327445,0.0069596,0.0070,true
OTTQA,qwen3-32b,20,soft,0.29,0.59,0.003352580000,0.009133755759,0.009132557025,0.009134954494,0.009133755759496457,0.0091,true
OTTQA,qwen3-32b,20,hard,0.29,0.59,0.003696550000,0.009994436061,0.009993246425,0.009995625698,0.00999443606139853,0.0100,true
OTTQA,qwen3-32b,20,bge_m3,0.29,0.59,0.003754810000,0.011188349225,0.011185371667,0.011191327671,0.011189,0.0112,true
OTTQA,qwen3-32b,30,soft,0.29,0.59,0.004035190000,0.014135635453,0.014134094093,0.014137176813,0.014135635453254993,0.0141,true
OTTQA,qwen3-32b,30,hard,0.29,0.59,0.004884320000,0.013577311790,0.013576088689,0.013578534891,0.013577311790346965,0.0136,true
OTTQA,qwen3-32b,30,bge_m3,0.29,0.59,0.005144160000,0.015287251114,0.015283672560,0.015290830733,0.0152883,0.0153,true
OTTQA,qwen3-32b,40,soft,0.29,0.59,0.005120050000,0.018884177359,0.018882554516,0.018885800202,0.01888417735908655,0.0189,true
OTTQA,qwen3-32b,40,hard,0.29,0.59,0.006221930000,0.018313106099,0.018311811040,0.018314401158,0.01831310609899496,0.0183,true
OTTQA,qwen3-32b,40,bge_m3,0.29,0.59,0.006671940000,0.020126515837,0.020122153521,0.020130879469,0.0201268,0.0201,true
OTTQA,qwen3-32b,50,soft,0.29,0.59,0.006355020000,0.022631827505,0.022630260554,0.022633394456,0.022631827504772724,0.0226,true
OTTQA,qwen3-32b,50,hard,0.29,0.59,0.007430520000,0.022490059936,0.022488728182,0.022491391690,0.022490059935804413,0.0225,true
OTTQA,qwen3-32b,50,bge_m3,0.29,0.59,0.008168730000,0.025615333960,0.025609938862,0.025620730751,0.0256142,0.0256,true
FeTaQA,gpt-4o,1,soft,2.50,10.00,0.001710000000,0.002205916985,0.002197854423,0.002213979547,0.002205916985340605,0.0022,true
FeTaQA,gpt-4o,1,hard,2.50,10.00,0.001710000000,0.002205916985,0.002197854423,0.002213979547,0.002205916985340605,0.0022,true
FeTaQA,gpt-4o,1,bge_m3,2.50,10.00,0.001950000000,0.005424200278,0.005406063134,0.005442342468,0.0054308,0.0054,true
FeTaQA,gpt-4o,5,soft,2.50,10.00,0.005992500000,0.007668166745,0.007660169074,0.007676164416,0.007668166744957158,0.0077,true
FeTaQA,gpt-4o,5,hard,2.50,10.00,0.007277500000,0.010240451275,0.010231656659,0.010249245892,0.010240451275356544,0.0102,true
FeTaQA,gpt-4o,5,bge_m3,2.50,10.00,0.007470000000,0.015978609626,0.015963533312,0.015993689165,0.0159772,0.0160,true
FeTaQA,gpt-4o,10,soft,2.50,10.00,0.011312500000,0.014471631216,0.014463635839,0.014479626592,0.014471631215844204,0.0145,true
FeTaQA,gpt-4o,10,hard,2.50,10.00,0.013927500000,0.020251626320,0.020242538352,0.020260714287,0.02025162631962888,0.0203,true
FeTaQA,gpt-4o,10,bge_m3,2.50,10.00,0.014092500000,0.028016898608,0.027976663357,0.028057213930,0.0280122,0.0280,true
FeTaQA,gpt-4o,20,soft,2.50,10.00,0.021975000000,0.028311568485,0.028303516275,0.028319620694,0.028311568484714028,0.0283,true
FeTaQA,gpt-4o,20,hard,2.50,10.00,0.026692500000,0.039955438699,0.039946083206,0.039964794192,0.03995543869882894,0.0400,true
FeTaQA,gpt-4o,20,bge_m3,2.50,10.00,0.026942500000,0.049709409594,0.049652073733,0.049766851339,0.0497081,0.0497,true
FeTaQA,gpt-4o,30,soft,2.50,10.00,0.032570000000,0.042149802180,0.042141713870,0.042157890490,0.04214980218006417,0.0421,true
FeTaQA,gpt-4o,30,hard,2.50,10.00,0.039335000000,0.059117266018,0.059107872783,0.059126659254,0.05911726601818965,0.0591,true
FeTaQA,gpt-4o,30,bge_m3,2.50,10.00,0.039555000000,0.070570918822,0.070553474266,0.070588366491,0.0705775,0.0706,true
FeTaQA,gpt-4o,40,soft,2.50,10.00,0.043160000000,0.056240959210,0.056232814956,0.056249103464,0.056240959210287024,0.0562,true
FeTaQA,gpt-4o,40,hard,2.50,10.00,0.051860000000,0.079084010965,0.079074480015,0.079093541915,0.07908401096485879,0.0791,true
