dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
E2E-WTQ,qwen3-32b,30,bge_m3,0.690,0.020,1.473,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,hard,0.595,0.084,0.735,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,soft,0.637,0.118,0.788,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,bge_m3,0.603,0.083,1.286,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,hard,0.546,0.151,0.675,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,soft,0.598,0.160,0.739,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,bge_m3,0.699,0.193,1.491,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,hard,0.425,0.035,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,soft,0.425,0.035,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,bge_m3,0.362,0.030,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,hard,0.403,0.030,0.948,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,soft,0.403,0.046,0.948,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,bge_m3,0.372,0.029,1.029,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,hard,0.391,0.028,0.920,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,soft,0.389,0.047,0.916,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,bge_m3,0.375,0.027,1.036,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,hard,0.392,0.021,0.923,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,soft,0.379,0.039,0.891,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,bge_m3,0.378,0.020,1.044,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,30,hard,0.387,0.017,0.909,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,30,soft,0.377,0.036,0.885,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
