dataset,reader,K,condition,score_display,input_tokens_display,output_tokens_display,published_cps,publication_precision_decimals,source,provenance_class
E2E-WTQ,gpt-oss-20b,20,hard,0.7136222222222223,8336,460,0.0002980848877401675,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,20,bge_m3,0.6611,24305,685,0.000839,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,soft,0.7554444444444445,11996,371,0.00036669804382997496,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,hard,0.7061777777777779,12242,508,0.00041864812134180876,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,bge_m3,0.6736,35484,628,0.0011467,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,soft,0.7266333333333334,15859,255,0.000471599614661223,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,hard,0.6829555555555555,16213,322,0.0005219373312074969,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,40,bge_m3,0.6695,46657,388,0.0014517,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,soft,0.7308333333333333,19749,213,0.0005695963511972633,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,hard,0.6778222222222222,20165,253,0.0006323191921841191,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,bge_m3,0.6653,56958,190,0.0017408,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,soft,0.8089333333333334,759,543,0.0006681391132355364,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,hard,0.8089333333333334,759,543,0.0006681391132355364,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,bge_m3,0.4686,1342,865,0.0019202,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,soft,0.8014888888888888,2479,616,0.0013504242104971304,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,hard,0.7763777777777777,2513,765,0.0015200332026218623,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,5,bge_m3,0.6318,7257,1025,0.0042878,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,soft,0.7861333333333334,4581,685,0.0022040027137042065,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,hard,0.7605777777777778,4662,938,0.002505200724595337,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,bge_m3,0.682,14462,1118,0.0071165,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,soft,0.7545555555555555,8841,717,0.003958515682520983,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,hard,0.7052555555555555,8952,1023,0.004536866069037228,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,20,bge_m3,0.6904,28245,1284,0.0129633,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,30,soft,0.6964222222222222,13082,753,0.00608546060818788,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,30,hard,0.6592333333333333,13142,1058,0.006728118521514891,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,30,bge_m3,0.6904,41289,1141,0.0183185,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,soft,0.6373777777777778,17248,739,0.00853172198591451,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,hard,0.5946222222222223,17323,981,0.00942188130652515,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,40,bge_m3,0.6025,54320,1590,0.0277026,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,soft,0.5978666666666667,21365,725,0.011078724353256022,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,hard,0.5458,21465,859,0.01233356540857457,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,50,bge_m3,0.6987,65708,1716,0.0287215,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,soft,0.42519798327910535,479,72,0.004509663910473744,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,hard,0.42519798327910535,479,72,0.004509663910473744,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,1,bge_m3,0.3618,485,73,0.0053732,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,soft,0.4029295562122123,2038,98,0.015077077137524401,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,hard,0.4029934777551181,2116,120,0.016104479000882726,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,5,bge_m3,0.3722,2233,122,0.0182787,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,soft,0.3893483236430879,3970,105,0.028188127015183154,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,hard,0.3910975564690342,4116,134,0.02973682603644911,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,10,bge_m3,0.3749,4403,146,0.0332447,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,soft,0.37871887265230036,7829,114,0.05469096339177167,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,hard,0.39225715348076884,8070,149,0.055231624988228964,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,20,bge_m3,0.3776,8680,168,0.061908,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,30,soft,0.37650747964611136,11713,122,0.08101432680346762,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,30,hard,0.3865491456818228,11968,159,0.08151615480722489,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,30,bge_m3,0.3907,12917,189,0.0874809,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,soft,0.3837002633608479,15571,126,0.1047367016326647,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,hard,0.3864791306232345,15871,166,0.10695920354959226,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,bge_m3,0.3889,17073,193,0.114708,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,soft,0.3763381598666397,19444,129,0.13259351647380832,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,hard,0.38761189960453435,19746,171,0.13176840043380988,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,bge_m3,0.4002,21247,199,0.1376945,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,soft,0.36274783398309635,434,151,0.0032777590618374474,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,hard,0.36274783398309635,434,151,0.0032777590618374474,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,bge_m3,0.336,372,149,0.0033196,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,soft,0.3417232273513971,1879,185,0.008205470906186372,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,hard,0.3471477682669663,1944,197,0.008437329194487338,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,bge_m3,0.3351,1796,182,0.0080744,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
